IPTV,#genre#
CCTV14,http://171.214.202.74:4000/udp/239.93.1.29:6000
金鹰卡通,http://116.20.32.193:54321/udp/239.77.0.164:5146
金鹰卡通,http://116.20.32.193:54321/udp/239.77.0.80:5146
金鹰卡通,http://116.20.32.193:54321/udp/239.77.1.52:5146
卡酷少儿,http://116.20.32.193:54321/udp/239.77.0.79:5146
卡酷少儿,http://116.20.32.193:54321/udp/239.77.1.50:5146
哈哈炫动,http://116.20.32.193:54321/udp/239.77.0.81:5146
哈哈炫动,http://116.20.32.193:54321/udp/239.77.1.139:5146
优漫卡通,http://116.20.32.193:54321/udp/239.77.0.222:5146
优漫卡通,http://116.20.32.193:54321/udp/239.77.1.79:5146

CCTV-1,http://116.20.32.193:54321/udp/239.77.0.30:5146
CCTV-1,http://116.20.32.193:54321/udp/239.77.1.20:5146
CCTV-1,http://116.20.32.193:54321/udp/239.77.0.241:5146
CCTV-1,http://116.20.32.193:54321/udp/239.77.1.17:5146
CCTV-1,http://116.20.32.193:54321/udp/239.77.1.144:5146
CCTV-1,http://116.20.32.193:54321/udp/239.77.0.86:5146
CCTV-1,http://116.20.32.193:54321/udp/239.77.0.129:5146
CCTV-2,http://116.20.32.193:54321/udp/239.77.1.28:5146
CCTV-2,http://116.20.32.193:54321/udp/239.77.1.158:5146
CCTV-3,http://116.20.32.193:54321/udp/239.77.0.32:5146
CCTV-3,http://116.20.32.193:54321/udp/239.77.0.169:5146
CCTV-4,http://116.20.32.193:54321/udp/239.77.0.33:5146
CCTV-4,http://116.20.32.193:54321/udp/239.77.1.41:5146
CCTV-4,http://116.20.32.193:54321/udp/239.77.1.163:5146
CCTV-4,http://116.20.32.193:54321/udp/239.77.1.166:5146
CCTV-4,http://116.20.32.193:54321/udp/239.77.0.78:5146
CCTV-4,http://116.20.32.193:54321/udp/239.253.43.121:5146
CCTV-4,http://116.20.32.193:54321/udp/239.253.43.120:5146
CCTV-5,http://116.20.32.193:54321/udp/239.77.0.34:5146
CCTV-5,http://116.20.32.193:54321/udp/239.77.0.170:5146
CCTV-5+,http://116.20.32.193:54321/udp/239.77.1.146:5146
CCTV-5+,http://116.20.32.193:54321/udp/239.77.0.87:5146
CCTV-5+,http://116.20.32.193:54321/udp/239.77.1.31:5146
CCTV-5+,http://116.20.32.193:54321/udp/239.77.1.147:5146
CCTV-6,http://116.20.32.193:54321/udp/239.77.0.35:5146
CCTV-6,http://116.20.32.193:54321/udp/239.77.0.171:5146
CCTV-7,http://116.20.32.193:54321/udp/239.77.0.36:5146
CCTV-7,http://116.20.32.193:54321/udp/239.77.1.24:5146
CCTV-7,http://116.20.32.193:54321/udp/239.77.1.159:5146
CCTV-7,http://116.20.32.193:54321/udp/239.77.0.138:5146
CCTV-8,http://116.20.32.193:54321/udp/239.77.0.37:5146
CCTV-8,http://116.20.32.193:54321/udp/239.77.0.172:5146
CCTV-9,http://116.20.32.193:54321/udp/239.77.0.38:5146
CCTV-9,http://116.20.32.193:54321/udp/239.77.1.65:5146
CCTV-9,http://116.20.32.193:54321/udp/239.77.1.160:5146
CCTV-9,http://116.20.32.193:54321/udp/239.77.0.135:5146
CCTV-10,http://116.20.32.193:54321/udp/239.77.0.39:5146
CCTV-10,http://116.20.32.193:54321/udp/239.77.1.25:5146
CCTV-10,http://116.20.32.193:54321/udp/239.77.1.113:5146
CCTV-10,http://116.20.32.193:54321/udp/239.77.0.134:5146
CCTV-11,http://116.20.32.193:54321/udp/239.77.0.40:5146
CCTV-11,http://116.20.32.193:54321/udp/239.77.1.42:5146
CCTV-11,http://116.20.32.193:54321/udp/239.77.1.238:5146
CCTV-12,http://116.20.32.193:54321/udp/239.77.0.41:5146
CCTV-12,http://116.20.32.193:54321/udp/239.77.1.10:5146
CCTV-12,http://116.20.32.193:54321/udp/239.77.1.109:5146
CCTV-12,http://116.20.32.193:54321/udp/239.77.0.136:5146
CCTV-13,http://116.20.32.193:54321/udp/239.77.0.42:5146
CCTV-13,http://116.20.32.193:54321/udp/239.77.1.26:5146
CCTV-13,http://116.20.32.193:54321/udp/239.77.0.188:5146
CCTV-13,http://116.20.32.193:54321/udp/239.253.43.196:5146
CCTV-14,http://116.20.32.193:54321/udp/239.77.0.43:5146
CCTV-14,http://116.20.32.193:54321/udp/239.77.1.43:5146
CCTV-14,http://116.20.32.193:54321/udp/239.77.1.161:5146
CCTV-14,http://116.20.32.193:54321/udp/239.77.0.133:5146
CCTV-15,http://116.20.32.193:54321/udp/239.77.0.44:5146
CCTV-15,http://116.20.32.193:54321/udp/239.77.1.11:5146
CCTV-15,http://116.20.32.193:54321/udp/239.77.1.239:5146
CCTV-16,http://116.20.32.193:54321/udp/239.77.0.165:5146
CCTV-16,http://116.20.32.193:54321/udp/239.77.1.76:5146
CCTV-16,http://116.20.32.193:54321/udp/239.77.1.98:5146
CCTV-17,http://116.20.32.193:54321/udp/239.77.0.115:5146
CCTV-17,http://116.20.32.193:54321/udp/239.77.1.123:5146
CCTV-17,http://116.20.32.193:54321/udp/239.77.1.121:5146

湖南卫视,http://116.20.32.193:54321/udp/239.77.0.46:5146
湖南卫视,http://116.20.32.193:54321/udp/239.77.1.29:5146
湖南卫视,http://116.20.32.193:54321/udp/239.77.1.5:5146
湖南卫视,http://116.20.32.193:54321/udp/239.77.0.88:5146
湖南卫视,http://116.20.32.193:54321/udp/239.77.0.127:5146
浙江卫视,http://116.20.32.193:54321/udp/239.77.0.47:5146
浙江卫视,http://116.20.32.193:54321/udp/239.77.1.32:5146
浙江卫视,http://116.20.32.193:54321/udp/239.77.1.33:5146
浙江卫视,http://116.20.32.193:54321/udp/239.77.0.89:5146
江苏卫视,http://116.20.32.193:54321/udp/239.77.0.48:5146
江苏卫视,http://116.20.32.193:54321/udp/239.77.1.40:5146
江苏卫视,http://116.20.32.193:54321/udp/239.77.1.18:5146
江苏卫视,http://116.20.32.193:54321/udp/239.77.0.90:5146
东方卫视,http://116.20.32.193:54321/udp/239.77.0.49:5146
东方卫视,http://116.20.32.193:54321/udp/239.77.1.48:5146
东方卫视,http://116.20.32.193:54321/udp/239.77.1.218:5146
东方卫视,http://116.20.32.193:54321/udp/239.77.0.98:5146
安徽卫视,http://116.20.32.193:54321/udp/239.77.0.50:5146
安徽卫视,http://116.20.32.193:54321/udp/239.77.1.13:5146
安徽卫视,http://116.20.32.193:54321/udp/239.77.1.92:5146
安徽卫视,http://116.20.32.193:54321/udp/239.77.0.183:5146
北京卫视,http://116.20.32.193:54321/udp/239.77.0.51:5146
北京卫视,http://116.20.32.193:54321/udp/239.77.1.14:5146
北京卫视,http://116.20.32.193:54321/udp/239.77.1.4:5146
北京卫视,http://116.20.32.193:54321/udp/239.77.1.151:5146
北京卫视,http://116.20.32.193:54321/udp/239.77.0.91:5146
天津卫视,http://116.20.32.193:54321/udp/239.77.0.52:5146
天津卫视,http://116.20.32.193:54321/udp/239.77.1.37:5146
天津卫视,http://116.20.32.193:54321/udp/239.77.1.141:5146
天津卫视,http://116.20.32.193:54321/udp/239.77.1.182:5146
天津卫视,http://116.20.32.193:54321/udp/239.77.0.97:5146
天津卫视,http://116.20.32.193:54321/udp/239.77.0.131:5146
山东卫视,http://116.20.32.193:54321/udp/239.77.0.53:5146
山东卫视,http://116.20.32.193:54321/udp/239.77.1.66:5146
山东卫视,http://116.20.32.193:54321/udp/239.77.1.142:5146
山东卫视,http://116.20.32.193:54321/udp/239.77.0.94:5146
江西卫视,http://116.20.32.193:54321/udp/239.77.0.54:5146
江西卫视,http://116.20.32.193:54321/udp/239.77.1.73:5146
江西卫视,http://116.20.32.193:54321/udp/239.77.1.219:5146
江西卫视,http://116.20.32.193:54321/udp/239.77.0.149:5146
湖北卫视,http://116.20.32.193:54321/udp/239.77.0.56:5146
湖北卫视,http://116.20.32.193:54321/udp/239.77.1.44:5146
湖北卫视,http://116.20.32.193:54321/udp/239.77.1.93:5146
湖北卫视,http://116.20.32.193:54321/udp/239.77.1.174:5146
湖北卫视,http://116.20.32.193:54321/udp/239.77.0.95:5146
湖北卫视,http://116.20.32.193:54321/udp/239.77.0.128:5146
辽宁卫视,http://116.20.32.193:54321/udp/239.77.0.57:5146
辽宁卫视,http://116.20.32.193:54321/udp/239.77.1.62:5146
辽宁卫视,http://116.20.32.193:54321/udp/239.77.1.103:5146
辽宁卫视 ,http://116.20.32.193:54321/udp/239.77.0.123:5146
黑龙江卫视,http://116.20.32.193:54321/udp/239.77.0.58:5146
黑龙江卫视,http://116.20.32.193:54321/udp/239.77.1.71:5146
黑龙江卫视,http://116.20.32.193:54321/udp/239.77.1.6:5146
黑龙江卫视,http://116.20.32.193:54321/udp/239.77.1.179:5146
黑龙江卫视,http://116.20.32.193:54321/udp/239.77.0.93:5146
黑龙江卫视,http://116.20.32.193:54321/udp/239.77.0.124:5146
贵州卫视,http://116.20.32.193:54321/udp/239.77.0.59:5146
贵州卫视,http://116.20.32.193:54321/udp/239.77.1.61:5146
贵州卫视,http://116.20.32.193:54321/udp/239.77.1.221:5146
贵州卫视,http://116.20.32.193:54321/udp/239.77.0.230:5146
四川卫视,http://116.20.32.193:54321/udp/239.77.0.60:5146
四川卫视,http://116.20.32.193:54321/udp/239.77.1.30:5146
四川卫视,http://116.20.32.193:54321/udp/239.77.1.215:5146
四川卫视,http://116.20.32.193:54321/udp/239.77.0.159:5146
河南卫视,http://116.20.32.193:54321/udp/239.77.0.61:5146
河南卫视,http://116.20.32.193:54321/udp/239.77.1.58:5146
河南卫视,http://116.20.32.193:54321/udp/239.77.1.229:5146
河南卫视,http://116.20.32.193:54321/udp/239.77.0.17:5146
云南卫视,http://116.20.32.193:54321/udp/239.77.0.62:5146
云南卫视,http://116.20.32.193:54321/udp/239.77.1.72:5146
云南卫视,http://116.20.32.193:54321/udp/239.253.43.37:5146
云南卫视,http://116.20.32.193:54321/udp/239.253.43.100:5146
重庆卫视,http://116.20.32.193:54321/udp/239.77.0.63:5146
重庆卫视,http://116.20.32.193:54321/udp/239.77.1.16:5146
重庆卫视,http://116.20.32.193:54321/udp/239.77.1.162:5146
重庆卫视,http://116.20.32.193:54321/udp/239.77.0.182:5146
河北卫视,http://116.20.32.193:54321/udp/239.77.0.64:5146
河北卫视,http://116.20.32.193:54321/udp/239.77.1.60:5146
河北卫视,http://116.20.32.193:54321/udp/239.77.1.214:5146
河北卫视,http://116.20.32.193:54321/udp/239.77.0.148:5146
东南卫视,http://116.20.32.193:54321/udp/239.77.0.65:5146
东南卫视,http://116.20.32.193:54321/udp/239.77.1.1:5146
东南卫视,http://116.20.32.193:54321/udp/239.77.1.213:5146
东南卫视,http://116.20.32.193:54321/udp/239.77.1.104:5146
福建东南卫视,http://116.20.32.193:54321/udp/239.77.0.146:5146
广西卫视,http://116.20.32.193:54321/udp/239.77.0.66:5146
广西卫视,http://116.20.32.193:54321/udp/239.77.1.59:5146
广西卫视,http://116.20.32.193:54321/udp/239.253.43.36:5146
广西卫视,http://116.20.32.193:54321/udp/239.77.0.139:5146
吉林卫视,http://116.20.32.193:54321/udp/239.77.0.67:5146
吉林卫视,http://116.20.32.193:54321/udp/239.77.1.45:5146
吉林卫视,http://116.20.32.193:54321/udp/239.77.1.111:5146
吉林卫视,http://116.20.32.193:54321/udp/239.77.0.150:5146
陕西卫视,http://116.20.32.193:54321/udp/239.77.0.68:5146
陕西卫视,http://116.20.32.193:54321/udp/239.77.1.54:5146
山西卫视,http://116.20.32.193:54321/udp/239.77.0.69:5146
山西卫视,http://116.20.32.193:54321/udp/239.77.1.74:5146
内蒙古卫视,http://116.20.32.193:54321/udp/239.77.0.70:5146
内蒙古卫视,http://116.20.32.193:54321/udp/239.77.1.55:5146
青海卫视,http://116.20.32.193:54321/udp/239.77.0.71:5146
青海卫视,http://116.20.32.193:54321/udp/239.77.1.70:5146
海南卫视,http://116.20.32.193:54321/udp/239.77.0.72:5146
海南卫视,http://116.20.32.193:54321/udp/239.77.1.51:5146
海南卫视,http://116.20.32.193:54321/udp/239.253.43.35:5146
海南卫视,http://116.20.32.193:54321/udp/239.253.43.101:5146
宁夏卫视,http://116.20.32.193:54321/udp/239.77.0.73:5146
宁夏卫视,http://116.20.32.193:54321/udp/239.77.1.47:5146
西藏卫视,http://116.20.32.193:54321/udp/239.77.0.74:5146
西藏卫视,http://116.20.32.193:54321/udp/239.77.1.49:5146
新疆卫视,http://116.20.32.193:54321/udp/239.77.0.75:5146
新疆卫视,http://116.20.32.193:54321/udp/239.77.1.53:5146
甘肃卫视,http://116.20.32.193:54321/udp/239.77.0.76:5146
甘肃卫视,http://116.20.32.193:54321/udp/239.77.1.57:5146
甘肃卫视,http://116.20.32.193:54321/udp/239.77.0.189:5146
兵团卫视,http://116.20.32.193:54321/udp/239.77.0.77:5146
兵团卫视,http://116.20.32.193:54321/udp/239.77.1.80:5146
厦门卫视,http://116.20.32.193:54321/udp/239.77.0.96:5146
三沙卫视,http://116.20.32.193:54321/udp/239.77.0.152:5146
三沙卫视,http://116.20.32.193:54321/udp/239.77.1.117:5146
三沙卫视,http://116.20.32.193:54321/udp/239.253.43.113:5146
吉林延边卫视,http://116.20.32.193:54321/udp/239.77.0.10:5146
延边卫视,http://116.20.32.193:54321/udp/239.77.1.99:5146



CCTV1,http://171.214.202.74:4000/udp/239.93.0.184:5140
CCTV2,http://171.214.202.74:4000/udp/239.93.1.23:6000
CCTV3,http://171.214.202.74:4000/udp/239.93.1.11:2223
CCTV4,http://171.214.202.74:4000/udp/239.93.1.105:5140
CCTV5,http://171.214.202.74:4000/udp/239.93.1.12:2224
CCTV6,http://171.214.202.74:4000/udp/239.93.1.13:2226
CCTV7,http://171.214.202.74:4000/udp/239.93.1.67:5140
CCTV8,http://171.214.202.74:4000/udp/239.93.42.39:5140
CCTV9,http://171.214.202.74:4000/udp/239.93.1.24:5140
CCTV10,http://171.214.202.74:4000/udp/239.93.1.28:5140
CCTV11,http://171.214.202.74:4000/udp/239.93.0.102:5140
CCTV12,http://171.214.202.74:4000/udp/239.93.1.30:8124
CCTV13,http://171.214.202.74:4000/udp/239.93.0.66:5140
CCTV15,http://171.214.202.74:4000/udp/239.93.0.103:5140
CCTV16,http://171.214.202.74:4000/udp/239.93.42.53:5140
CCTV17,http://171.214.202.74:4000/udp/239.93.0.92:5140

湖南卫视,http://171.214.202.74:4000/udp/239.93.0.88:5140
江苏卫视,http://171.214.202.74:4000/udp/239.93.0.89:5140
浙江卫视,http://171.214.202.74:4000/udp/239.93.0.124:5140
东方卫视,http://171.214.202.74:4000/udp/239.93.0.123:5140
北京卫视,http://171.214.202.74:4000/udp/239.93.0.180:5140
深圳卫视,http://171.214.202.74:4000/udp/239.93.0.182:5140
广东卫视,http://171.214.202.74:4000/udp/239.93.0.181:5140
天津卫视,http://171.214.202.74:4000/udp/239.93.0.167:5140
山东卫视,http://171.214.202.74:4000/udp/239.93.0.168:5140
江西卫视,http://171.214.202.74:4000/udp/239.93.0.134:5140
东南卫视,http://171.214.202.74:4000/udp/239.93.0.42:5140
黑龙江卫视,http://171.214.202.74:4000/udp/239.93.0.183:5140
重庆卫视,http://171.214.202.74:4000/udp/239.93.1.107:5140
贵州卫视,http://171.214.202.74:4000/udp/239.93.0.131:5140
湖北卫视,http://171.214.202.74:4000/udp/239.93.0.250:5140
安徽卫视,http://171.214.202.74:4000/udp/239.93.1.106:5140
河北卫视,http://171.214.202.74:4000/udp/239.93.0.132:5140
辽宁卫视,http://171.214.202.74:4000/udp/239.93.1.108:5140
河南卫视,http://171.214.202.74:4000/udp/239.93.42.45:5140
广西卫视,http://171.214.202.74:4000/udp/239.93.42.46:5140
云南卫视,http://171.214.202.74:4000/udp/239.93.0.174:5140
吉林卫视,http://171.214.202.74:4000/udp/239.93.0.248:5140
陕西卫视,http://171.214.202.74:4000/udp/239.93.0.176:5140
山西卫视,http://171.214.202.74:4000/udp/239.93.0.6:5140
内蒙古卫视,http://171.214.202.74:4000/udp/239.93.0.8:5140
青海卫视,http://171.214.202.74:4000/udp/239.93.0.192:5140
宁夏卫视,http://171.214.202.74:4000/udp/239.93.0.247:5140
西藏卫视,http://171.214.202.74:4000/udp/239.93.0.175:5140
新疆卫视,http://171.214.202.74:4000/udp/239.93.0.194:5140
甘肃卫视,http://171.214.202.74:4000/udp/239.93.0.81:5140
海南卫视,http://171.214.202.74:4000/udp/239.93.0.80:5140
陕西农林,http://171.214.202.74:4000/udp/239.93.0.100:5140
兵团卫视,http://171.214.202.74:4000/udp/239.93.42.43:5140


CCTV1,http://171.214.202.74:4000/udp/239.93.0.148:5140
CCTV2,http://171.214.202.74:4000/udp/239.93.0.149:5140
CCTV3,http://171.214.202.74:4000/udp/239.93.0.150:5140
CCTV4-,http://171.214.202.74:4000/udp/239.93.0.212:5140
CCTV5,http://171.214.202.74:4000/udp/239.93.0.158:5140
CCTV6,http://171.214.202.74:4000/udp/239.93.0.64:5140
CCTV7,http://171.214.202.74:4000/udp/239.93.0.79:5140
CCTV8,http://171.214.202.74:4000/udp/239.93.0.154:5140
CCTV9,http://171.214.202.74:4000/udp/239.93.1.64:5140
CCTV10,http://171.214.202.74:4000/udp/239.93.1.63:5140
CCTV11,http://171.214.202.74:4000/udp/239.93.0.170:5140
CCTV12,http://171.214.202.74:4000/udp/239.93.1.41:5140
CCTV14,http://171.214.202.74:4000/udp/239.93.1.40:5140
湖南卫视,http://171.214.202.74:4000/udp/239.93.1.46:5140
江苏卫视,http://171.214.202.74:4000/udp/239.93.1.45:5140
浙江卫视,http://171.214.202.74:4000/udp/239.93.1.6:5140
东方卫视,http://171.214.202.74:4000/udp/239.93.1.44:5140
北京卫视,http://171.214.202.74:4000/udp/239.93.1.66:5140
深圳卫视,http://171.214.202.74:4000/udp/239.93.1.21:5140
天津卫视,http://171.214.202.74:4000/udp/239.93.1.134:5140
广东卫视,http://171.214.202.74:4000/udp/239.93.0.201:5140
山东卫视,http://171.214.202.74:4000/udp/239.93.0.229:5140
康巴卫视,http://171.214.202.74:4000/udp/239.93.1.149:5140
江西卫视,http://171.214.202.74:4000/udp/239.93.1.19:5140
东南卫视,http://171.214.202.74:4000/udp/239.93.1.201:5140
黑龙江卫视,http://171.214.202.74:4000/udp/239.93.0.231:5140
重庆卫视,http://171.214.202.74:4000/udp/239.93.0.119:5140
贵州卫视,http://171.214.202.74:4000/udp/239.93.1.200:5140
湖北卫视,http://171.214.202.74:4000/udp/239.93.0.115:5140
安徽卫视,http://171.214.202.74:4000/udp/239.93.1.166:5140
河北卫视,http://171.214.202.74:4000/udp/239.93.1.202:5140
辽宁卫视,http://171.214.202.74:4000/udp/239.93.1.167:5140
河南卫视,http://171.214.202.74:4000/udp/239.93.1.169:5140
广西卫视,http://171.214.202.74:4000/udp/239.93.1.203:5140
云南卫视,http://171.214.202.74:4000/udp/239.93.1.168:5140
吉林卫视,http://171.214.202.74:4000/udp/239.93.1.204:5140
陕西卫视,http://171.214.202.74:4000/udp/239.93.1.205:5140
山西卫视,http://171.214.202.74:4000/udp/239.93.1.207:5140
内蒙古卫视,http://171.214.202.74:4000/udp/239.93.1.208:5140
青海卫视,http://171.214.202.74:4000/udp/239.93.1.209:5140
宁夏卫视,http://171.214.202.74:4000/udp/239.93.1.212:5140
西藏卫视,http://171.214.202.74:4000/udp/239.93.1.213:5140
新疆卫视,http://171.214.202.74:4000/udp/239.93.1.214:5140
